Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Life Span,Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Average Weight (kg),Training Difficulty (1-10)
Havanese,Cuba,Toy,Silky coat,9,14,Small,High,1.5,Yes,8,Low,Low,5,5
Ibizan Hound,Spain,Hound,Large ears,7,13,Medium,Low,2,Yes,7,Low,Low,22,7
Icelandic Sheepdog,Iceland,Herding,Spitz-type tail,8,12,Medium,Moderate,2,Yes,7,Moderate,Low,14,6
Irish Red and White Setter,Ireland,Sporting,Red and white coat,8,12,Large,High,2.5,Yes,7,Moderate,Moderate,27,6
Irish Setter,Ireland,Sporting,Rich red coat,8,13,Large,High,2.5,Yes,7,High,Moderate,29,6
Irish Terrier,Ireland,Terrier,Fiery red coat,7,13,Medium,Moderate,1.5,Yes,7,Low,Low,11,7
Irish Water Spaniel,Ireland,Sporting,Curly coat,8,11,Large,High,2,Yes,7,Low,Low,24,6
Irish Wolfhound,Ireland,Hound,Tallest dog breed,7,7,Giant,Moderate,2,Yes,6,Moderate,High,54,6
Italian Greyhound,Italy,Toy,Miniature sight hound,7,13,Small,Low,1.5,No,7,Low,Moderate,4,7
Japanese Chin,Japan,Toy,Eastern expression,7,11,Small,Moderate,1,Yes,7,Moderate,Low,3,6
Japanese Spitz,Japan,Non-Sporting,Snow-white coat,8,13,Small,High,1.5,Yes,8,High,Low,6,6
Keeshond,Netherlands,Non-Sporting,Spectacles marking,8,13,Medium,High,1.5,Yes,8,High,Low,16,6
Kerry Blue Terrier,Ireland,Terrier,Blue coat,7,13,Medium,High,1.5,Yes,7,Low,Low,16,7
Komondor,Hungary,Working,Corded coat,6,11,Large,Very High,2,With Training,6,Low,Low,40,8
Kuvasz,Hungary,Working,White guardian,6,11,Large,Moderate,2,With Training,7,Moderate,Moderate,42,8
Labrador Retriever,Canada,Sporting,Water-resistant coat,10,11,Large,Moderate,2,Yes,8,High,Moderate,30,4
Lakeland Terrier,England,Terrier,Square build,7,13,Small,Moderate,1.5,Yes,7,Low,Low,7,7
Leonberger,Germany,Working,Lion-like mane,8,9,Giant,High,2,Yes,7,High,High,61,8
Lhasa Apso,Tibet,Non-Sporting,Floor-length coat,6,13,Small,Very High,1,No,7,Low,Low,6,8
Lowchen,France,Non-Sporting,Lion cut,8,14,Small,High,1.5,Yes,8,Low,Low,6,6
Maltese,Malta,Toy,Pure white coat,8,13,Small,Very High,1,No,7,Low,Low,2.5,6
Manchester Terrier,England,Terrier,Sleek and athletic,7,15,Small-Medium,Low,1.5,With Training,8,Moderate,Low,7,7
Mastiff,England,Working,Massive size,6,9,Giant,Low,1.5,Yes,6,Moderate,High,78,7
Miniature Pinscher,Germany,Toy,Fearless nature,6,13,Small,Low,1.5,No,7,Low,Low,4,8
Miniature Schnauzer,Germany,Standard,Small but sturdy,8,12,Small,High,1.5,Yes,8,Moderate,Low,8,6
Neapolitan Mastiff,Italy,Working,Wrinkly loose skin,6,8,Large,Moderate,1,Yes,5,Moderate,High,70,8
Newfoundland,Canada,Working,Water rescue ability,9,9,Giant,High,2,Yes,7,Moderate,Moderate,61,7
Norfolk Terrier,England,Terrier,Bat-like ears,8,14,Small,Low,1.5,Yes,7,Low,Low,5,6
Norwegian Buhund,Norway,Herding,Spitz-type appearance,8,12,Medium,Moderate,2,Yes,7,Moderate,Low,12,6
Norwegian Elkhound,Norway,Hound,Gray coat,7,12,Medium,Moderate,2,Yes,7,Moderate,Moderate,23,7
Norwegian Lundehund,Norway,Non-Sporting,Unique extra toes,7,12,Small,High,2,Yes,7,Moderate,High,8,7
Old English Sheepdog,England,Herding,Fluffy appearance,8,10,Large,Very High,2,Yes,6,High,Moderate,32,6
Otterhound,England,Hound,Rough-coated,7,10,Large,Very High,2.5,Yes,6,High,Moderate,37,7
Papillon,France,Toy,Butterfly-shaped ears,9,13,Small,Moderate,1,Yes,8,Low,Low,3,5
Pekingese,China,Toy,Lion-like appearance,6,12,Small,Very High,1,With Training,5,Moderate,High,5,7
Pembroke Welsh Corgi,Wales,Herding,Short legs long body,9,12,Small,Moderate,2,Yes,8,Moderate,Moderate,12,5
Petit Basset Griffon Vendeen,France,Hound,Low-to-the-ground,7,12,Small,High,2,Yes,6,High,Moderate,15,7
Pharaoh Hound,Malta,Hound,Regal appearance,7,12,Medium,Moderate,2,Yes,8,Moderate,Low,20,7
Pointer,England,Sporting,Distinctive stance,8,12,Medium,Moderate,2.5,Yes,7,Moderate,Moderate,25,6
Pomeranian,Germany,Toy,Fluffy double coat,8,12,Small,High,1,Yes,7,High,Moderate,3,7
Poodle (Miniature),France,Non-Sporting,Curly hypoallergenic coat,8,15,Small,Very High,1.5,Yes,8,Low,Low,7,6
Poodle (Standard),France,Non-Sporting,Curly coat,9,12,Large,Very High,2,Yes,8,Moderate,Moderate,22,5
Poodle (Toy),France,Toy,Compact poodle,9,15,Toy,Very High,1,Yes,8,Low,Low,4,5
Portuguese Podengo,Portugal,Hound,Perky ears,7,12,Medium,Moderate,2,Yes,8,Moderate,Low,15,8
Portuguese Water Dog,Portugal,Sporting,Curly weatherproof coat,8,11,Medium,High,2,Yes,8,Moderate,Moderate,18,6
Pudelpointer,Germany,Sporting,Versatile hunting,7,12,Medium,Moderate,2.5,Yes,8,Moderate,Low,23,7
Pug,China,Toy,Wrinkled face,8,12,Small,Moderate,1,Yes,7,Moderate,High,7,6
Pyrenean Mountain Dog,France,Working,Guard dog,7,10,Giant,High,2,Yes,6,High,High,54,7
Rat Terrier,USA,Terrier,Athletic agile,7,15,Small-Medium,Low,2,Yes,7,Moderate,Moderate,5,7
Redbone Coonhound,USA,Hound,Redish coat,8,12,Medium,Moderate,2,Yes,6,Moderate,Low,25,7
Rhodesian Ridgeback,Africa,Hound,Ridge of fur on back,6,11,Large,Moderate,2.5,With Training,8,Moderate,Moderate,36,7
Rottweiler,Germany,Working,Powerful guarding,7,9,Large,Moderate,2,With Training,8,High,High,40,8
Saint Bernard,Switzerland,Working,Large size,9,8,Giant,High,2,Yes,6,High,Moderate,68,7
Saluki,Middle East,Hound,Slender elegant,6,12,Medium,Moderate,2.5,No,7,Moderate,Moderate,22,7
Samoyed,Siberia,Working,Fluffy white coat,9,12,Medium,High,2,Yes,7,High,Moderate,21,7
Schipperke,Belgium,Non-Sporting,Tailless appearance,7,13,Small,Moderate,2,No,7,Moderate,Moderate,7,7
Scottish Deerhound,Scotland,Hound,Greyhound-like,6,8,Large,Moderate,2,Yes,6,Moderate,Moderate,41,7
Scottish Terrier,Scotland,Terrier,Sturdy low-set,7,12,Small,Moderate,1.5,Yes,6,Moderate,High,9,7
Shetland Sheepdog,Scotland,Herding,Miniature Collie,9,12,Medium,High,2,Yes,8,High,Moderate,11,5
Shiba Inu,Japan,Non-Sporting,Fox-like expression,7,13,Small,Moderate,2,No,7,Moderate,Moderate,9,7
Shih Tzu,China,Toy,Long flowing coat,8,14,Small,Very High,1,Yes,6,Moderate,Moderate,4,7
Siberian Husky,Siberia,Working,Piercing eyes,8,12,Medium,Moderate,2.5,Yes,7,Moderate,Moderate,21,7
Silky Terrier,Australia,Terrier,Silky blue coat,7,13,Small,High,1.5,Yes,7,Moderate,Low,4,7
Skye Terrier,Scotland,Terrier,Long low body,7,13,Small,Moderate,1.5,No,6,Moderate,Moderate,8,7
Sloughi,North Africa,Hound,Powerful hunter,6,12,Medium,Low,2.5,With Training,7,Low,Moderate,18,7
Smooth Fox Terrier,England,Terrier,Energetic,7,13,Small,Low,2,Yes,7,Moderate,Moderate,7,7
Soft-Coated Wheaten Terrier,Ireland,Terrier,Soft wavy coat,8,12,Medium,High,2,Yes,7,Moderate,Moderate,12,6
Spanish Water Dog,Spain,Sporting,Curly waterproof coat,7,12,Medium,Very High,2,Yes,8,Moderate,Moderate,15,6
Spinone Italiano,Italy,Sporting,Shaggy coat,7,12,Large,High,2,Yes,7,Moderate,Moderate,32,7
Staffordshire Bull Terrier,England,Terrier,Muscular strength,7,12,Medium,Low,2,Yes,7,Moderate,High,16,7
Standard Poodle,France,Non-Sporting,Intelligent,9,12,Large,Very High,2,Yes,8,Moderate,Moderate,26,5
Standard Schnauzer,Germany,Standard,Distinct beard,7,15,Medium,High,2,Yes,7,Moderate,Moderate,14,6
Sussex Spaniel,England,Sporting,Low-set body,7,11,Medium,High,1.5,Yes,6,Moderate,Moderate,18,6
Swedish Vallhund,Sweden,Herding,Corgi-like,8,12,Medium,Moderate,2,Yes,8,Moderate,Low,12,7
Thai Ridgeback,Thailand,Hound,Ridge of fur on back,6,12,Medium,Moderate,2,With Training,7,Moderate,Moderate,15,7
Tibetan Mastiff,Tibet,Working,Imposing appearance,7,10,Large,High,2,With Training,6,Moderate,Moderate,45,8
Toy Fox Terrier,USA,Toy,Miniature Fox Terrier,8,15,Toy,Moderate,1.5,Yes,8,Low,Low,2,7
Treeing Walker Coonhound,USA,Hound,Tracking ability,8,12,Medium,Moderate,2,Yes,7,Moderate,Moderate,20,7
Welsh Springer Spaniel,Wales,Sporting,Compact build,8,13,Medium,High,2,Yes,7,Moderate,Moderate,16,6
Welsh Terrier,Wales,Terrier,Distinctive eyebrows,7,14,Medium,Moderate,1.5,Yes,7,Moderate,Moderate,9,7
West Highland White Terrier,Scotland,Terrier,White coat,8,13,Small,Moderate,1.5,Yes,7,Moderate,Moderate,7,7
Whippet,England,Hound,Miniature Greyhound,7,13,Medium,Low,2,Yes,8,Low,Low,8,6
Wire Fox Terrier,England,Terrier,Energetic,7,14,Small,Moderate,2,Yes,7,Moderate,Moderate,8,7
Wirehaired Dachshund,Germany,Hound,Wiry coat,7,13,Small,Moderate,1.5,With Training,7,Moderate,High,8,7
Wirehaired Pointing Griffon,Netherlands,Sporting,Shaggy beard,7,13,Medium,High,2,Yes,7,Moderate,Moderate,20,6
Xoloitzcuintli,Mexico,Non-Sporting,Hairless variety,7,15,Small-Large,Low,2,With Training,8,Low,Moderate,25-Jul,6
Yorkshire Terrier,England,Toy,Long silky coat,8,13,Toy,High,1,Yes,7,Moderate,Moderate,2.5,6
